This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202207 CRSP database.,,,,,,,,,,,,,,,,,,,,,,,,,
It contains value- and equal-weighted returns for portfolios formed on ME and BEME.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year,,,,,,,,,,,,,,,,,,,,,,,,,
divided by ME at the end of December of the prior year. ,,,,,,,,,,,,,,,,,,,,,,,,,
Annual returns are from January to December.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Missing data are indicated by -99.99 or -999.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
The break points include utilities and include financials.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
The  portfolios  include utilities and include financials.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
  Average Value Weighted Returns -- Monthly,,,,,,,,,,,,,,,,,,,,,,,,,
,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
192607,5.8248,-1.7006,0.4875,-1.458,2.0534,1.2077,2.4192,0.4926,-2.6049,-0.3344,1.9116,2.4336,-0.4347,3.7288,-1.2629,1.5893,1.5278,1.2978,0.2727,2.4678,3.4539,6.0902,2.0266,3.1111,0.5623
192608,-2.0206,-8.0282,1.3796,1.4606,8.3968,2.3618,-1.1849,4.0084,0.5038,6.1675,-0.939,2.3886,1.9912,4.298,8.1169,1.3336,3.873,2.0021,2.1706,5.3422,1.0124,4.1903,2.0131,5.4849,7.7576
192609,-4.8291,-2.6154,-4.3417,-3.2729,0.8649,-2.654,-1.2618,1.0829,-3.548,-0.9401,-0.3898,0.169,-1.9328,2.6946,-3.6215,1.0923,-0.525,-1.7636,1.4646,0.873,-1.2906,3.6538,0.095,-0.7487,-2.4284
192610,-9.3729,-3.5519,-3.4948,3.4413,-2.5476,-2.8069,-3.2663,-5.0745,-8.0191,-1.3213,-5.1161,-2.5583,0.4293,-2.1819,-3.1373,-3.3361,-2.6559,-2.107,-3.1051,-5.3525,-2.7413,-3.0071,-2.2437,-4.6719,-5.8129
192611,5.5888,4.1877,2.4623,-4.4494,0.5362,3.1033,-2.369,3.0078,5.1546,2.7292,1.9107,4.5467,0.4771,4.943,3.7333,3.4448,2.3887,3.7335,4.932,1.8213,4.2946,2.5326,1.5204,3.6619,2.5636
192612,14.9644,-1.3814,0.1503,3.4171,0.8556,3.1108,4.7507,1.2089,2.134,5.198,-1.3186,2.3963,-1.0707,3.0242,1.5349,3.4702,2.6069,1.7698,3.0306,0.1578,1.4887,3.4585,1.9777,6.2357,2.4024
192701,1.0943,-8.1352,-5.2057,3.0498,2.0166,2.9853,-4.2365,-0.064,-0.3004,11.057,-0.6319,-0.22,-0.6412,2.3361,2.5541,2.3758,1.4701,-0.5134,0.2313,7.3063,-0.7756,0.3281,-0.4374,0.5498,4.2141
